,datetime,sanfranciscohumidity,sanfranciscotemperature
1,2012-10-01 13:00:00,88.0,289.48
2,2012-10-01 14:00:00,87.0,289.474992813
3,2012-10-01 15:00:00,86.0,289.460618112
4,2012-10-01 16:00:00,85.0,289.446243412
5,2012-10-01 17:00:00,84.0,289.431868711
6,2012-10-01 18:00:00,83.0,289.417494011
7,2012-10-01 19:00:00,82.0,289.40311931
8,2012-10-01 20:00:00,81.0,289.388744609
9,2012-10-01 21:00:00,80.0,289.374369909
10,2012-10-01 22:00:00,79.0,289.359995208
11,2012-10-01 23:00:00,78.0,289.345620508
12,2012-10-02 00:00:00,77.0,289.331245807
13,2012-10-02 01:00:00,76.0,289.316871107
14,2012-10-02 02:00:00,75.0,289.302496406
15,2012-10-02 03:00:00,74.0,289.288121706
16,2012-10-02 04:00:00,73.0,289.273747005
17,2012-10-02 05:00:00,72.0,289.259372305
18,2012-10-02 06:00:00,71.0,289.244997604
19,2012-10-02 07:00:00,70.0,289.230622904
20,2012-10-02 08:00:00,69.0,289.216248203
21,2012-10-02 09:00:00,68.0,289.201873503
22,2012-10-02 10:00:00,67.0,289.187498802
23,2012-10-02 11:00:00,66.0,289.173124102
24,2012-10-02 12:00:00,65.0,289.158749401
25,2012-10-02 13:00:00,64.0,289.144374701
26,2012-10-02 14:00:00,63.0,289.13
27,2012-10-02 15:00:00,51.0,290.73
28,2012-10-02 16:00:00,56.0,293.02
29,2012-10-02 17:00:00,94.0,296.18
30,2012-10-02 18:00:00,70.0,299.66
31,2012-10-02 19:00:00,83.0,300.03
32,2012-10-02 20:00:00,75.0,301.07
33,2012-10-02 21:00:00,75.0,302.29
34,2012-10-02 22:00:00,18.0,304.7
35,2012-10-02 23:00:00,11.0,304.86
36,2012-10-03 00:00:00,15.0,304.08
37,2012-10-03 01:00:00,18.0,302.69
38,2012-10-03 02:00:00,25.0,300.52
39,2012-10-03 03:00:00,31.0,298.56
